candidate_id,years_of_experience,profile_completeness_score,profile_views_received_30d,applications_submitted_30d,recruiter_response_rate,avg_response_time_hours,connection_count,endorsements_received,notice_period_days,github_activity_score,has_github_linked,search_appearance_30d,saved_by_recruiters_30d,interview_completion_rate,offer_acceptance_rate,has_offer_history,salary_min_lpa,salary_max_lpa,salary_mid_lpa,skill_assessment_mean,num_assessments_taken,open_to_work_flag,willing_to_relocate,verified_email,verified_phone,linkedin_connected,work_mode_remote,work_mode_hybrid,work_mode_onsite,work_mode_flexible
CAND_0000012,1.1,53.4,60.0,1.0,0.16,38.4,165.0,31.0,60.0,0.0,0,61.0,3.0,0.42,,0,14.8,7.9,11.350000000000001,,0,0,0,1,0,0,0,0,0,1
CAND_0000013,1.1,44.2,16.0,3.0,0.28,80.3,281.0,9.0,30.0,35.6,1,40.0,12.0,0.33,0.26,1,11.6,8.1,9.85,,0,1,0,1,0,0,1,0,0,0
CAND_0000014,8.4,61.9,21.0,1.0,0.8,7.7,708.0,63.0,90.0,0.0,0,12.0,0.0,0.55,,0,9.0,30.0,19.5,77.6,1,0,0,1,1,0,1,0,0,0
CAND_0000015,5.4,79.4,93.0,3.0,0.32,117.7,361.0,61.0,90.0,0.0,0,164.0,8.0,0.72,,0,21.8,18.9,20.35,,0,1,0,1,1,0,1,0,0,0
CAND_0000016,5.3,69.4,76.0,5.0,0.64,205.6,148.0,2.0,60.0,42.9,1,126.0,5.0,0.66,,0,6.1,8.1,7.1,,0,1,0,0,0,1,0,1,0,0
CAND_0000017,12.3,38.7,3.0,4.0,0.27,197.4,35.0,23.0,90.0,0.0,0,110.0,2.0,0.32,0.17,1,13.8,8.4,11.100000000000001,,0,0,0,1,0,0,0,1,0,0
CAND_0000018,6.6,34.8,88.0,11.0,0.16,154.6,284.0,49.0,120.0,0.0,0,41.0,16.0,0.7,0.46,1,12.3,26.4,19.35,,0,0,0,0,0,0,0,0,1,0
CAND_0000019,6.5,38.6,61.0,9.0,0.34,100.0,593.0,25.0,60.0,0.0,0,141.0,0.0,0.31,,0,12.5,7.7,10.1,,0,0,0,0,1,0,0,1,0,0
CAND_0000020,6.3,73.0,38.0,9.0,0.55,207.8,479.0,35.0,30.0,0.0,0,31.0,11.0,0.71,,0,17.2,18.2,17.7,53.7,1,0,0,1,0,1,1,0,0,0
CAND_0000021,14.5,58.5,1.0,8.0,0.49,98.7,52.0,3.0,60.0,6.4,1,8.0,3.0,0.53,,0,10.9,24.4,17.65,,0,0,1,1,1,1,0,1,0,0
CAND_0000022,1.1,63.1,39.0,2.0,0.27,30.2,538.0,21.0,150.0,0.0,0,136.0,5.0,0.45,,0,12.3,8.5,10.4,,0,1,0,1,0,0,1,0,0,0
CAND_0000023,3.7,50.7,10.0,2.0,0.57,64.8,763.0,39.0,30.0,48.5,1,239.0,14.0,0.9,,0,17.4,20.5,18.95,,0,0,0,1,1,0,0,0,0,1
CAND_0000024,7.5,63.7,71.0,4.0,0.78,238.2,445.0,41.0,60.0,46.3,1,84.0,7.0,0.72,,0,9.9,22.1,16.0,65.1,1,0,1,0,1,0,0,0,0,1
CAND_0000025,7.3,70.7,107.0,11.0,0.74,128.0,276.0,52.0,120.0,0.0,0,74.0,9.0,0.7,,0,18.8,30.7,24.75,40.0,1,1,0,1,1,1,0,1,0,0
CAND_0000026,6.8,80.3,75.0,7.0,0.59,45.4,321.0,8.0,30.0,0.0,0,154.0,11.0,0.49,,0,17.1,8.0,12.55,,0,0,0,1,0,1,0,1,0,0
CAND_0000027,3.9,31.0,89.0,5.0,0.58,112.3,282.0,24.0,90.0,38.6,1,136.0,6.0,0.61,0.65,1,17.9,20.2,19.049999999999997,48.6,3,1,0,0,1,1,0,1,0,0
CAND_0000028,1.1,51.2,6.0,7.0,0.14,13.2,524.0,1.0,60.0,0.0,0,68.0,4.0,0.86,0.49,1,12.9,17.2,15.05,,0,0,1,1,1,0,1,0,0,0
CAND_0000029,7.2,40.5,51.0,8.0,0.12,48.4,297.0,4.0,60.0,42.5,1,150.0,8.0,0.67,,0,17.5,19.1,18.3,,0,0,0,1,0,1,0,0,1,0
CAND_0000030,10.0,59.7,58.0,0.0,0.66,131.1,552.0,45.0,60.0,21.7,1,54.0,1.0,0.73,,0,14.7,14.2,14.45,,0,0,0,1,1,0,0,0,0,1
CAND_0000031,6.0,83.4,194.0,2.0,0.91,76.1,832.0,177.0,60.0,32.6,1,778.0,13.0,0.6,0.38,1,27.3,60.2,43.75,63.55,4,1,1,0,1,0,0,0,0,1
CAND_0000032,8.1,35.4,80.0,3.0,0.69,58.6,404.0,22.0,150.0,0.0,0,56.0,4.0,0.78,0.25,1,18.3,15.7,17.0,,0,0,1,1,0,0,0,0,0,1
CAND_0000033,8.6,74.0,42.0,9.0,0.08,210.9,410.0,29.0,30.0,38.3,1,98.0,2.0,0.37,,0,8.3,13.0,10.65,,0,1,0,0,1,0,1,0,0,0
CAND_0000034,14.5,41.2,25.0,7.0,0.15,253.5,226.0,27.0,90.0,0.0,0,143.0,2.0,0.41,,0,14.4,28.0,21.2,,0,0,0,1,1,0,0,1,0,0
CAND_0000035,4.3,56.2,7.0,4.0,0.34,178.0,398.0,45.0,60.0,0.0,0,173.0,1.0,0.5,,0,11.2,22.8,17.0,,0,0,0,1,1,0,0,0,1,0
CAND_0000036,11.3,81.8,70.0,4.0,0.4,236.6,324.0,3.0,60.0,0.0,0,175.0,0.0,0.78,0.46,1,15.3,9.7,12.5,,0,1,0,1,0,0,1,0,0,0
CAND_0000037,14.3,25.6,80.0,6.0,0.78,107.1,503.0,13.0,30.0,0.0,0,178.0,1.0,0.82,0.19,1,8.8,14.2,11.5,,0,0,0,1,1,1,0,0,1,0
CAND_0000038,6.7,35.8,102.0,9.0,0.2,61.0,316.0,51.0,90.0,37.8,1,300.0,18.0,0.75,,0,9.2,15.9,12.55,,0,1,1,1,1,0,0,0,0,1
CAND_0000039,3.9,28.3,22.0,0.0,0.52,40.1,102.0,9.0,30.0,0.0,0,146.0,6.0,0.74,,0,17.4,16.0,16.7,,0,0,1,0,1,1,0,1,0,0
CAND_0000040,1.6,39.5,52.0,6.0,0.46,268.3,176.0,35.0,90.0,0.0,0,95.0,1.0,0.8,0.44,1,7.6,8.2,7.8999999999999995,,0,0,0,1,0,0,1,0,0,0
CAND_0000041,13.7,75.9,3.0,9.0,0.07,135.3,143.0,19.0,90.0,0.0,0,150.0,6.0,0.85,0.16,1,5.4,9.3,7.3500000000000005,,0,1,1,1,1,1,1,0,0,0
CAND_0000042,5.0,58.6,57.0,8.0,0.58,24.8,591.0,29.0,30.0,0.0,0,34.0,9.0,0.35,,0,10.5,18.8,14.65,,0,0,1,1,1,0,0,0,0,1
CAND_0000043,8.3,57.0,38.0,8.0,0.04,223.5,102.0,39.0,120.0,0.0,0,167.0,2.0,0.72,,0,6.3,21.2,13.75,,0,0,1,1,1,0,1,0,0,0
CAND_0000044,5.7,30.6,78.0,7.0,0.66,179.1,58.0,38.0,90.0,6.5,1,288.0,18.0,0.66,,0,8.8,12.3,10.55,,0,0,0,1,0,0,1,0,0,0
CAND_0000045,12.2,25.4,37.0,0.0,0.62,20.8,490.0,2.0,60.0,0.0,0,23.0,6.0,0.33,,0,9.7,12.3,11.0,,0,1,1,1,1,1,0,1,0,0
CAND_0000046,7.8,74.8,80.0,6.0,0.41,209.8,301.0,29.0,30.0,20.9,1,166.0,7.0,0.4,0.34,1,7.6,28.0,17.8,,0,0,1,1,1,1,1,0,0,0
CAND_0000047,2.4,79.7,34.0,5.0,0.39,109.1,444.0,48.0,90.0,0.0,0,14.0,4.0,0.54,0.21,1,13.3,19.2,16.25,,0,0,0,1,1,0,1,0,0,0
CAND_0000048,9.7,62.2,58.0,3.0,0.65,97.9,225.0,48.0,120.0,0.0,0,131.0,5.0,0.42,0.4,1,12.6,26.6,19.6,,0,1,0,0,1,0,0,0,0,1
CAND_0000049,11.8,64.0,6.0,2.0,0.59,109.3,514.0,12.0,120.0,0.0,0,100.0,6.0,0.56,,0,12.9,18.8,15.850000000000001,,0,0,0,1,0,1,0,0,1,0
CAND_0000050,13.5,42.5,34.0,2.0,0.42,108.7,245.0,22.0,90.0,44.7,1,87.0,2.0,0.58,,0,7.6,22.9,15.25,60.8,1,0,0,1,1,0,0,0,1,0
